soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,soil_type,crop_type,growth_stage,prev_irrigation,hours_since_irrigation,irrigation_required,water_quantity,duration_minutes,risk_level
37.31,20.55,78.59,2.73,44.6,4.0,Silty,Groundnut,Maturity,10.0,10.3,0,0.0,0.0,Medium
38.91,33.08,66.62,0.02,2.3,21.0,Silty,Wheat,Maturity,1.4,70.1,1,5.0,3.0,Medium
44.27,41.27,70.84,1.8,1.3,37.7,Sandy,Cotton,Flowering,11.6,1.1,1,6.0,3.0,High
93.51,34.94,43.82,2.2,54.7,7.4,Silty,Rice,Vegetative,23.3,67.6,0,0.0,0.0,Medium
67.49,43.68,83.32,4.13,54.0,23.5,Silty,Groundnut,Germination,18.2,19.9,0,0.0,0.0,Medium
86.14,20.7,73.29,4.68,60.6,37.1,Silty,Rice,Flowering,27.4,61.2,0,0.0,0.0,Low
60.63,32.84,39.91,2.47,38.3,38.9,Peaty,Groundnut,Flowering,21.7,17.0,0,0.0,0.0,Low
51.03,32.11,72.34,0.45,60.4,21.6,Sandy,Groundnut,Fruiting,28.3,43.1,0,0.0,0.0,Low
33.79,17.86,54.3,0.74,41.7,35.3,Peaty,Wheat,Germination,3.7,25.7,1,5.0,3.5,Medium
73.04,18.02,45.31,8.59,32.3,20.8,Peaty,Sugarcane,Germination,10.9,70.0,0,0.0,0.0,Low
53.57,33.01,58.4,0.16,27.9,36.3,Sandy,Rice,Flowering,4.3,35.2,1,12.4,8.2,Medium
70.91,19.31,57.98,3.57,85.8,13.0,Clay,Sugarcane,Germination,21.3,58.3,0,0.0,0.0,Low
78.27,40.24,70.71,3.99,20.9,21.7,Sandy,Rice,Vegetative,6.9,12.6,0,0.0,0.0,Medium
80.93,25.54,74.87,6.82,88.7,31.2,Sandy,Tomato,Germination,2.5,11.6,0,0.0,0.0,Low
79.0,44.2,41.97,1.09,48.6,17.9,Sandy,Tomato,Flowering,5.3,1.3,0,0.0,0.0,Medium
78.37,30.7,57.74,3.03,25.0,23.6,Sandy,Tomato,Germination,14.6,65.2,0,0.0,0.0,Low
49.98,20.84,73.76,0.99,2.4,25.8,Silty,Rice,Germination,28.2,68.7,1,10.4,7.0,High
44.59,20.1,61.19,8.25,69.6,22.8,Sandy,Groundnut,Flowering,18.5,71.3,0,0.0,0.0,Low
40.1,40.25,30.28,3.7,55.3,11.9,Loamy,Wheat,Germination,7.7,44.0,1,5.0,3.5,High
41.93,19.94,93.38,5.48,86.0,10.0,Clay,Groundnut,Germination,9.1,38.7,0,0.0,0.0,Low
47.91,33.94,26.0,0.16,53.1,21.6,Silty,Cotton,Fruiting,21.8,70.3,1,5.5,3.5,Medium
47.66,17.19,53.09,3.5,5.8,36.6,Loamy,Maize,Maturity,7.2,6.8,1,5.0,3.3,Medium
25.41,31.35,31.69,0.38,34.2,3.7,Clay,Maize,Fruiting,9.3,70.5,1,35.1,21.7,High
71.3,16.3,48.13,2.95,50.3,34.3,Peaty,Sugarcane,Fruiting,4.9,5.1,0,0.0,0.0,Low
43.06,26.5,67.95,1.84,54.6,37.7,Silty,Tomato,Fruiting,28.8,65.2,1,12.1,6.6,Medium
43.3,25.93,90.51,0.12,41.8,38.7,Loamy,Cotton,Maturity,12.7,40.9,0,0.0,0.0,Medium
82.55,38.57,45.3,8.01,85.8,17.2,Loamy,Cotton,Germination,22.6,7.4,0,0.0,0.0,Medium
61.08,16.94,92.96,5.63,35.5,38.3,Clay,Tomato,Germination,14.5,35.5,0,0.0,0.0,Low
53.18,38.58,78.81,0.29,49.4,2.3,Silty,Maize,Maturity,13.2,63.9,1,5.0,3.0,High
45.0,26.99,86.8,0.48,51.3,9.3,Peaty,Groundnut,Vegetative,25.9,63.4,0,0.0,0.0,Low
74.37,26.2,26.42,4.5,55.8,17.0,Silty,Maize,Fruiting,3.3,35.5,0,0.0,0.0,Low
64.3,22.07,50.16,1.95,8.3,21.1,Clay,Rice,Maturity,24.1,70.4,1,5.0,3.0,Medium
55.0,30.99,66.48,3.57,45.5,25.1,Silty,Tomato,Germination,27.0,3.3,0,0.0,0.0,Low
36.45,26.45,37.0,0.93,36.0,10.4,Silty,Cotton,Vegetative,1.0,20.1,1,7.6,6.3,Medium
52.79,27.93,63.72,7.55,8.3,35.1,Peaty,Tomato,Vegetative,4.9,29.6,1,5.0,4.5,Medium
95.61,27.31,40.82,0.17,86.5,32.5,Loamy,Rice,Germination,29.9,40.0,0,0.0,0.0,Low
76.52,43.66,66.05,0.78,67.2,24.7,Sandy,Sugarcane,Germination,3.4,48.4,0,0.0,0.0,Medium
78.19,17.72,79.79,2.67,48.0,16.8,Silty,Sugarcane,Maturity,19.2,58.0,0,0.0,0.0,Low
68.5,34.17,61.51,0.29,72.6,21.9,Loamy,Wheat,Vegetative,27.3,21.5,0,0.0,0.0,Medium
75.55,22.42,54.68,11.74,49.3,13.2,Loamy,Rice,Germination,7.2,5.5,0,0.0,0.0,Low
59.37,30.37,92.8,2.76,22.4,32.9,Clay,Rice,Flowering,10.4,2.3,1,17.8,13.1,Medium
